,,time,mr L1,mr L2,mr L3,RAM_A(L3_TCM),Flops
block,32,43.0,0.00395866666667,0.255710333333,0.0963393333333,46.3333333333,68969.6666667
,52,182.333333333,0.002574,0.224257333333,0.449223333333,27.6666666667,297266.333333
,128,2725.33333333,0.0140646666667,0.0501636666667,0.144691,173.0,4455762.33333
,148,4133.0,0.014679,0.033463,0.246638,317.333333333,6880789.33333
,1024,1155475.33333,0.314182,0.0461343333333,0.00374,181112.0,2880665046.67
,2048,9069133.33333,0.313847,0.0457893333333,0.0467553333333,11912377.3333,22894929229.7

block_omp,32,399.0,0.0589153333333,0.449065333333,0.298852333333,491.0,18114.3333333
,52,549.333333333,0.0414276666667,0.550124333333,0.211298333333,796.0,58908.6666667
,128,3472.0,0.025217,0.679122666667,0.305831,3063.66666667,505368.666667
,148,3858.33333333,0.0203653333333,0.435604333333,0.295464666667,4069.66666667,791690.333333
,1024,959747.0,0.346191666667,0.0575116666667,0.230145333333,802384.333333,314969076.333
,2048,7702865.33333,0.340646666667,0.0562303333333,0.175749333333,9675860.0,1967566522.0

