,,time,mr L1,mr L2,mr L3,RAM_A(L3_TCM),Flops,,,
ijk,32,49.33333333,70190,,,,,,,
,52,196,296315,,,,,,,
,128,2947,5296168,,,,,,,
,148,4130.333333,6852946.333,,,,,,,
,1024,3634021.667,8315324575,,,,,,,
,2048,22241506.33,64359757503,,,,,,,
,,,,,,,,,,
ikj,32,18,12,,,,,,,
,52,54,12,,,,,,,
,128,728.6666667,13,,,,,,,
,148,1223.666667,12,,,,,,,
,1024,337217.6667,12,,,,,,,
,2048,2657205,293.6666667,,,,,,,
,,,,,,,,,,
jki,32,47,66310.33333,,,,,,,
,52,168.6666667,296230.3333,,,,,,,
,128,5270.333333,9113972.667,,,,,,,
,148,3524.666667,6915245.667,,,,,,,
,1024,8127769.333,9892467496,,,,,,,
,2048,91426010.67,1.19804E+11,,,,,,,
,,,,,,,,,,
ijk_t,32,44.33333333,70168.66667,,,,,,,
,52,179,305914.6667,,,,,,,
,128,2625.333333,4303011.667,,,,,,,
,148,3922.333333,7041534,,,,,,,
,1024,1302558,2155529782,,,,,,,
,2048,10416455,17235073074,,,,,,,
,,,,,,,,,,
jki_t,32,22,12,,,,,,,
,52,62.66666667,12,,,,,,,
,128,858,13,,,,,,,
,148,1309.666667,12,,,,,,,
,1024,363912,12,,,,,,,
,2048,2970924,318.3333333,,,,,,,
,,,,,,,,,,
block,32,42.33333333,68411.66667,,,,,,,
,52,132.6666667,293338.6667,,,,,,,
,128,2336,4394054,,,,,,,
,148,3501.333333,6778947,,,,,,,
,1024,1431150.667,2877294402,,,,,,,
,2048,9057888.333,22899204574,,,,,,,
,,,,,,,,,With Vectorization,Without Vectorization
block_omp,32,624.3333333,17753,,,608.6666667,,32,0.625,0.609
,52,890.3333333,29285,,,867.6666667,,1,0.891,0.868
,128,2202.666667,279258,,,3763.666667,,128,2.203,3.764
,148,2318.666667,406390.6667,,,5612.666667,,1,2.319,5.613
,1024,334290,138649800.7,,,293226,,1024,334.29,293.226
,2048,2073578.667,1216902907,,,6820012.333,,2048,2073.579,6820.013
